제목,장르,상영시간,개봉일,인기도,평균 평점,평점 수,제작비,수익,제작사,원어,시놉시스,키워드
Traffic in Souls,"['범죄', '드라마']",88.0,1913-11-24,0.1413,5.19,21.0,5700.0,1800000.0,['Independent Moving Pictures'],en,,"['kidnapping', 'prostitution', 'silent film']"
Neptune's Daughter,['판타지'],95.0,1914-04-25,0.1574,1.0,2.0,50000.0,1000000.0,['Universal Film Manufacturing Company'],en,,"['black and white', 'underwater', 'swimming', 'silent film', 'partially lost film', 'public domain']"
The Rose of the Rancho,"['로맨스', '서부', '모험']",50.0,1914-11-15,0.1203,4.0,1.0,16988.0,87028.0,['Jesse L. Lasky Feature Play Company'],en,,"['old california', '19th century']"
국가의 탄생,"['드라마', '역사', '전쟁']",193.0,1915-02-08,3.7802,6.003,552.0,100000.0,11000000.0,['Epoch Film Co.'],en,"북의 스톤맨가는 과격한 노예제 폐지론자인 아버지 오스틴 스톤맨과 두 아들, 아버지를 보살피는 딸 엘지가 있었다. 카메론의 두 아들이 남부의 피에드몽에 있는 스톤맨가를 방문한다. 카메론가의 맏아들인 벤은 친구인 스톤맨이 갖고 있던 동생 엘지의 사진을 보고 한눈에 반한다.  그후 전쟁의 기운이 몰아치고 북의 통치를 거부하는 남의 분리선언으로 남북전쟁의 소용돌이에 휘말리고 두 가문의 남자들 역시 전쟁에 참가하게 된다. 2년반의 치열한 전투 끝에 남부는 항복을 하고 링컨은 남부에 온건 정책을 쓴다. 그러나 링컨이 존 윌키스에게 저격을 당하여 사망하자 스톤맨이 실권을 장악한다. 남부는 스톤맨의 총애를 받는 혼혈인 린치에게 그 권한이 넘겨진다. 그러나 남부의 무정부적 상태에서 벤의 여동생이 흑인 거스에 의하여 절벽에 떨어져 죽는다. 분노한 백인 암살단은 대학살을 예고하고...  남북의 대립 이전부터 친교를 갖고 있던 북과 남의 훌륭한 두 백인 가문, 스톤맨가와 카메론가의 가족들이 남북 전쟁을 전후로 하여 겪게 되는 사랑과 갈등, 치열한 삶과 죽음의 곡예, 그리고 이들의 정치적 대립과 의식의 변화 과정을 당시의 역사적인 사실을 바탕으로 하여 사실적으로 촬영되었다.","['army', 'ku klux klan', 'southern usa', 'racist', 'silent film', 'american civil war', 'reconstruction era', 'controversial']"
The Cheat,['드라마'],59.0,1915-12-13,0.8053,5.962,66.0,17311.0,137365.0,['Jesse L. Lasky Feature Play Company'],en,,[]
The Girl of the Golden West,"['서부', '로맨스']",45.0,1915-01-04,0.0969,5.5,6.0,15110.0,102224.0,['Jesse L. Lasky Feature Play Company'],en,,"['gambling', 'snowstorm', 'silent film']"
인톨러런스,"['드라마', '역사']",197.0,1916-09-04,0.7558,7.063,347.0,385907.0,1750000.0,['Triangle Film Corporation'],en,"서로 다른 시기에 발생한 이야기를 동시에 진행한, 구성이 매우 복잡한 흑백 작품으로, 20세기 초 미국 젊은이들의 고민, 16세기 유럽 종교개혁 시기의 위그노 학살, 예수의 생애에 대한 에피소드, 고대의 바빌로니아 이야기가 동시에 등장한다.  선구자적인 이런 시도는 다음 세대 영화인에게 영감의 원천이 되었다. 시간적으로는 서양 고대에서 20세기 현대를, 공간적으로는 오리엔트에서 출발해 지중해를 지나 서유럽을 거쳐 미국 역사를 동시에 다루었다. 흥행에는 실패하였지만 데이비드 와크 그리피스는 이 작품으로 영화 예술의 아버지라 불렸다.","['naivety', 'mill', 'marriage', 'intolerance', 'wedding', 'massacre', 'protestant', 'silent film', 'multiple storylines', 'reformer', 'saved from hanging', 'babylon', '16th century', 'partially lost film', '1st century', 'huguenot', '6th century bc', 'tragic']"
"20,000 Leagues Under the Sea","['모험', '드라마', '액션', 'SF']",99.0,1916-12-24,0.4129,6.2,57.0,200000.0,8000000.0,['The Universal Film Mfg. Co.'],en,,"['revenge', 'captain nemo']"
A Daughter of the Gods,"['판타지', '드라마']",180.0,1916-10-16,0.1074,3.3,3.0,1000000.0,1390000.0,['Fox Film Corporation'],en,,[]
Mickey,"['코미디', '드라마']",71.0,1918-08-01,0.3192,6.5,17.0,250000.0,8000000.0,['Mabel Normand Feature Film Company'],en,,"['new york city', 'horse race', 'fish out of water', 'orphan', 'silent film']"
